Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
01/31/2026 10:00,1027,4490,0,3463
01/31/2026 11:00,2013,1088,925,0
01/31/2026 12:00,2924,905,2019,0
01/31/2026 13:00,2892,993,1899,0
01/31/2026 14:00,2441,828,1613,0
01/31/2026 15:00,824,944,0,120
01/31/2026 16:00,134,3836,0,3702
01/31/2026 17:00,1,10891,0,10890
01/31/2026 18:00,0,6455,0,6455
01/31/2026 19:00,0,1075,0,1075
01/31/2026 20:00,0,1417,0,1417
01/31/2026 21:00,0,1641,0,1641
01/31/2026 22:00,0,1061,0,1061
01/31/2026 23:00,0,1010,0,1010
